,created_at,description,full_name,list_name,members_count,subscriber_count
0,2013-12-13 15:17:57,The official list of tweeps attending the #WEF Annual Meeting 2014 in Davos,@wef/davos2014,Davos2014,980,211
1,2017-01-24 15:21:03,Notes from the Democratic opposition. ,@ForeignPolicy/shadow-government,Shadow Government,21,31
2,2014-06-09 19:22:26,Check out the contributing voices to FP's world cup coverage.,@ForeignPolicy/world-cup-coverage,World Cup coverage,9,16
3,2013-12-20 23:38:31,"Bloggers, columnists and freelancers contributing to Foreign Policy magazine and foreignpolicy.com",@ForeignPolicy/fp-contributors,FP contributors,62,106
4,2013-12-09 17:53:17,Our 5th annual special report featuring the 100 Leading Global Thinkers.,@ForeignPolicy/global-thinkers-2013,Global Thinkers 2013,27,59
5,2013-11-22 22:42:38, ,@ForeignPolicy/intl-news-outlets,Intl news outlets,23,60
6,2011-06-20 14:02:18,,@ForeignPolicy/twitterati-100,Twitterati 100,99,554
7,2010-03-11 23:07:42,Staff writers and editors for Foreign Policy,@ForeignPolicy/foreign-policy-staff1,Foreign Policy Staff,37,543
